l00,l01,l02,l10,l11,l12,l20,l21,l22,li00,li01,li02,li10,li11,li12,li20,li21,li22,o1,o2
-19169514364692,31750218165577,38618526012087,-33926224,12415268,-12415268,12124592,28749732,-28749732,0,-7187433,3103817,4,-294465,5500224,4,-3325613,-2981332,281197612767569,56096835050993
5723033923138,-64645710254526,-22229138183907,7762184,7762184,78024820,-8165048,-8165048,62974996,4,15108147,-17306772,-4,635602,-2199433,0,2041262,1940546,281197612767569,170198712496601
2685431690686,-33841656243489,-7073039125399,15081208,7540604,25562532,2920824,1460412,-144360860,4,17393163,2883892,-8,1303889,622849,0,365103,-1885151,281197612767569,220066495294465
-6073773050754,21841671576771,48527072600893,28121592,11077388,-11077388,-22454984,31191596,-31191596,0,7797899,-2769347,4,4544366,4609209,4,-1069380,-2421189,281197612767569,144875637134953
-3044130818870,23697859832915,-70368744177664,-8557784,42796364,0,-24604376,-8521140,0,0,-2130285,-10699091,0,6151094,-2139446,-4,2163640,-257655,281197612767569,242104454253329
9168893617674,20154189508345,-50214554669319,-21024728,-20727836,-20727836,26584680,-27341948,-27341948,0,-6835487,5181959,4,-3852003,-4425966,-4,-2794167,-830216,281197612767569,74716613555193
7020924995217,63347819182447,-15638389492928,-1657276,1657276,57724160,-19247740,19247740,-8954624,4,-945918,-13083283,4,1292738,1347757,0,4811935,-414319,281197612767569,3504583117601
-33024622389143,37344121788521,14093750419919,14327204,14327204,-38474948,17811332,17811332,30753372,-4,3188309,5821964,4,4500034,3796773,0,-4452833,3581801,281197612767569,264789031279241
-14125186453778,8317715118145,56243557723886,-23444552,-21644028,-23444552,14329016,-34795388,14329016,-4,-7376148,3632053,0,-3582254,-5861138,4,-1322699,1778954,281197612767569,121731564207153
28547031337829,13376249819545,41821712839835,-5441132,-37404060,5441132,-30780620,-4671868,30780620,4,2156905,-5816090,0,-7695155,1360283,4,988938,3534925,281197612767569,3854677629465
16686170232903,-53682573944761,-27915171443107,-5216996,-5216996,-55499404,-18732196,-18732196,16537140,4,-5011702,-10067387,-4,877417,-3807464,0,-4683049,1304249,281197612767569,36036561235521
-12287628612631,12382368121279,70368744177664,20179876,26290940,0,22073860,-27034724,0,0,6758681,6572735,0,5518465,-5044969,4,209134,2035449,281197612767569,3955731579561
-20535267325743,49833476851921,7505837519185,10338116,10338116,46883140,15933252,15933252,-36650684,-4,6913664,8024705,4,2249007,3696080,0,3983313,-2584529,281197612767569,95185978224977
16319694161719,-29602039447497,40766704730167,26370268,-15448868,-15448868,21033532,30373436,30373436,0,7593359,3862217,-4,-1285310,4714983,4,-3973073,1877584,281197612767569,142043005232185
12027588107724,-58341156069940,-16611002063213,-22886608,-22886608,-16257460,166448,166448,-49076468,4,-10181874,2019041,-4,-2087243,2045324,0,-41612,-5721652,281197612767569,41122652722529
5904368079761,70368744177664,31575335486884,19458628,0,-30931312,11835428,0,39047696,0,9761924,7732828,4,508591,-2831664,0,-2958857,4864657,281197612767569,52474778357449
-24535654299683,21297435578298,-10427595145875,-3667084,-7334168,100311476,9725428,19450856,40993844,-8,-3822327,7318233,4,-3213067,8879818,0,2431357,916771,281197612767569,129014088854129
-6970924839627,56426894498410,15908696043248,-11091756,-22183512,4914112,-1791628,-3583256,-100714048,-8,-19987482,-2238916,4,-2595515,505194,0,447907,-2772939,281197612767569,181111220048473
-10456455555545,18086466399939,8675328718805,1498268,7491340,251849556,3971548,19857740,-83875052,-20,6001513,15951964,4,2993450,9402085,0,992887,-374567,281197612767569,207645434347649
-17475184060071,23014092699163,-52893560117593,31908196,-7664532,-31908196,1956548,34815628,-1956548,-4,6382430,4049179,0,-489137,7977049,-4,-2321477,2133046,281197612767569,12230095781609
6569433097639,17724667309777,70368744177664,26679964,8804164,0,-11888228,38277188,0,0,9569297,-2201041,0,2972057,6669991,4,-1641973,-1474572,281197612767569,122167674955665
27123772660069,16121198857526,17354619212399,6631828,-13263656,-80564804,-9448780,18897560,-54986468,8,4314443,-3796485,4,-4716087,8172358,0,-2362195,-1657957,281197612767569,70116241056889
-15973084244355,24026424959329,-30369234973980,-22886924,13951364,36838288,28526132,31805124,3278992,-4,-3711448,4649737,4,2891700,4559835,-4,4239833,1161896,281197612767569,93794219306913
17110053281864,-16360927781849,53258690895800,-21667552,-27396964,21667552,-22503392,23508668,22503392,4,-5756168,-3924417,0,-5625848,5416888,4,120999,2924824,281197612767569,14559892689673
-26236358973746,44132385203918,-4113311470821,9675576,9675576,-51453844,-16773064,-16773064,-27167508,-4,4504698,-7926041,4,2287179,-4937420,0,-4193266,-2418894,281197612767569,135320023820465
-33165619186775,37203124990889,-328123304724,17042084,17042084,31040432,-10747196,-10747196,46490928,-4,6132273,-4122544,4,5490459,-3637564,0,2686799,4260521,281197612767569,271739515624089
-4359210076574,14089599579223,70368744177664,11014536,31364444,0,-27431672,24106396,0,0,6026599,-7841111,0,6857918,2753634,4,-999792,-1037089,281197612767569,122928917095105
17983261980238,-52385482197426,8830008369737,18342200,18342200,24069412,14277752,14277752,-42647164,4,7489190,5054977,-4,3172601,962376,0,3569438,-4585550,281197612767569,34029370166057
6055126412924,-64313617764740,4635695321009,6638064,6638064,-64202044,13861360,13861360,35548356,4,8350655,14560064,-4,536434,1490447,0,-3465340,1659516,281197612767569,267686571109841
28816050276356,41552693901308,13720801240361,-2715632,2715632,55234724,19512976,-19512976,17714500,4,-3566281,8021640,4,862344,-5787041,0,4878244,678908,281197612767569,211371678119097
-27662690575429,42706053602235,6640612254360,-21552404,-21552404,3222112,6572972,6572972,51257440,-4,-7621830,997335,4,-5192530,-191807,0,1643243,5388101,281197612767569,95009632082401
10145319353508,50078105470648,-12989228639173,-9641328,19282656,-48814868,4331024,-8662048,-94850164,8,-17274821,7794971,4,3218860,-2204373,0,-1082756,-2410332,281197612767569,167738920806217
27093956505539,-16180831166586,25569018153549,5001996,10003992,66082100,14974604,29949208,-27258444,8,-1153593,4707543,-4,3984102,5906491,0,3743651,-1250499,281197612767569,160218819524337
21691128746842,-18751344755175,29926270675647,32613736,34632804,2019068,-13735768,19936132,33671900,4,4362759,-3816648,-4,4055216,3311881,4,-621274,4841553,281197612767569,247152341988057
-22010936350481,-30920637055888,-48357807827183,-4847684,-36294208,4847684,-31061764,-301632,31061764,-4,3464023,-6767926,0,-7765441,1211921,-4,3388615,2305626,281197612767569,45433121527041
5351144634983,70368744177664,-24639383057173,13725084,0,-34920532,17476156,0,37567948,0,9391987,8730133,4,-2244012,537571,0,-4369039,3431271,281197612767569,128130400544617
26374257611937,43994486565727,-4122448127094,-20140412,20140412,15271464,-15283836,15283836,-44313560,4,-6702356,-2681901,4,4376034,1135965,0,3820959,-5035103,281197612767569,22688087573521
-587590803343,26416504257508,-70368744177664,1875396,-40837232,0,27517028,1162768,0,0,290692,10209308,0,-6879257,468849,-4,-2584908,90757,281197612767569,26268432389369
16216502359777,54152241817887,-21504952576999,19445636,-19445636,28626020,-8407356,8407356,45523364,4,9400452,-4021621,4,-1980389,3134884,0,2101839,4861409,281197612767569,23308095263777
11642154761618,29363294708023,-728855377782,12611144,-6305572,69515816,-7228920,3614460,138708712,4,14479366,-7235519,8,-5718446,2907916,0,903615,1576393,281197612767569,218168076700553
27271881865629,43096862312035,-14368064008578,-21900684,21900684,-753160,4799476,-4799476,-51244296,4,-8091048,-1002617,4,4720026,-1190907,0,-1199869,-5475171,281197612767569,280608361321777
23478736903435,46890007274229,6881677458975,17885228,-17885228,35232892,17561740,-17561740,-28355748,4,4294332,6306603,4,-2794605,-2501620,0,4390435,-4471307,281197612767569,123682348538649
30357582177239,-40011162000425,-19149337573780,-17018020,-17018020,-38147664,-21843556,-21843556,17194672,4,-3930255,-4264850,-4,-368413,-5272066,0,-5460889,4254505,281197612767569,147375455016769
694216637336,-70368744177664,-15760340691325,8097376,0,-67899892,-8982688,0,-63721428,0,15930357,-16974973,-4,660118,285923,0,-2245672,-2024344,281197612767569,262245065888681
5668383824581,21715953678184,-70368744177664,12695316,38747552,0,26069780,-9118304,0,0,2279576,9686888,0,6517445,-3173829,-4,2194924,-199147,281197612767569,52863963474513
25181647080874,-16501712681321,28685384415469,20598440,-10887588,-31486028,-30819608,-38369348,-7549740,4,4352867,-2955460,-4,-2465432,-4916047,4,-5239470,-233563,281197612767569,59490804696377
22886167494663,-24596409188338,1803829782136,6489116,12978232,87538144,8029660,16059320,-65185824,8,5593282,7732604,-4,5351587,7075966,0,2007415,-1622279,281197612767569,82263641316961
9577431073721,-30211026557742,-40157717619922,31525604,-9041080,9041080,5707716,34076936,-34076936,0,8519234,2260270,-4,345184,4805353,-4,1772113,-3076048,281197612767569,153673586212809
10700746499125,-59667997678539,20596560972483,14687444,14687444,-5193972,-542892,-542892,76849292,4,16251042,26301,-4,2961281,1272192,0,135723,3671861,281197612767569,72808381432689
17699824353065,31672514027512,38696230150152,28063908,14917600,-14917600,-15594556,31829728,-31829728,0,7957432,-3729400,4,142357,4796186,4,-3756282,-2219791,281197612767569,173826801668953
23917239723980,-46451504453684,-30755305817103,18018096,18018096,33491908,-16058320,-16058320,32638084,4,7140836,-3558389,-4,1018685,-4814588,0,4014580,4504524,281197612767569,245462255626625
-25043432397980,-45325311779684,1131142438837,-7832176,7832176,43715284,19739408,-19739408,33577652,-4,-5327612,7070853,-4,3066801,-3857968,0,4934852,1958044,281197612767569,235935279042537
-9757788255643,-60610955922021,-7302223412280,-14158444,14158444,-35328224,9967252,-9967252,-54651104,-4,-11509629,7974654,-4,2153147,-857402,0,-2491813,-3539611,281197612767569,273537318707345
-5879557568715,-58609629040234,-21157706965155,6990036,-13980072,73492852,5251060,-10502120,-105862764,-8,21253671,16353763,-4,-2606010,-1009725,0,1312765,-1747509,281197612767569,264190554523001
-25282001290034,14880150769621,30206592118009,34995000,25054036,9940964,1920184,-30798444,32718628,-4,5034814,2163155,4,3144843,-4648396,4,2664797,4100354,281197612767569,125175335401633
5355248609717,-25888498897263,-44480245280401,9908948,-30321084,30321084,-30251724,-21055196,21055196,0,5263799,-7580271,-4,-4379957,-2142746,-4,3182974,334491,281197612767569,237344669565961
4585231713285,11299232232816,70368744177664,-23176172,-32434752,0,-16602220,25345472,0,0,-6336368,-8108688,0,-4150555,5794043,4,1079340,-401997,281197612767569,115207380795825
-23984736899750,4693641056871,-46384007277914,-28504728,-27275876,28504728,-14352728,25764732,14352728,-4,-4485081,-4019446,0,-3588182,7126182,-4,1956102,2799523,281197612767569,91375735643033
3859287832302,62650168513060,29024413465763,4744120,-9488240,-123009396,5557304,-11114608,93231052,8,21897279,26400815,4,-705242,-2175767,0,-1389326,1186030,281197612767569,208576751520705
2158604788683,-12138111425902,-70368744177664,-12385492,38142536,0,-24613300,-15105272,0,0,-3776318,-9535634,0,6153325,-3096373,-4,-1177246,241591,281197612767569,238564671953961
-29622103079181,-26078976920307,-40746641098483,-14487604,34865204,14487604,26972620,12803636,-26972620,-4,-4352513,3704834,0,6743155,3621901,-4,-1151604,-5011467,281197612767569,40076807775953
5750323121978,-27070803727099,37547617328587,-22276888,14483476,36760364,-21004504,-36884940,-15880436,4,-6447599,-5467458,-4,2477490,-3722633,4,2773636,-1846589,281197612767569,237798858167737
9012800978565,-61355943199099,-29469624325220,11159060,11159060,47496816,-16604844,-16604844,30219632,4,8325758,-9185039,-4,-770850,-2689165,0,4151211,2789765,281197612767569,123262734050017
17807032206031,-859384646460,3285999954634,-1118404,4473616,313410344,-3207332,12829328,-107911704,16,179698,1009114,4,6789406,19840425,0,801833,-279601,281197612767569,125434231855177
-34739733134093,-35629011043571,-17719733562,22341580,-22341580,-21794024,-10193076,10193076,-40451560,-4,5120987,-2757274,-4,-4991903,2691232,0,-2548269,-5585395,281197612767569,102283433594865
31582063353703,-38786680823961,1358302877976,16515484,16515484,-11205536,446076,446076,-68475040,4,9433569,-1464402,-4,7685191,-1336982,0,111519,-4128871,281197612767569,281415043625945
24964643533597,-45404100644067,-26411022544131,-23086988,-23086988,-30033932,15526964,15526964,-28568652,4,-6065253,2678436,-4,-1076910,4830047,0,-3881741,-5771747,281197612767569,162126088715777
-34745703134519,35623041043145,-14282327768465,321316,321316,-75469380,-14901116,-14901116,-4114084,-4,1276770,-9534985,4,-248249,-9332360,0,-3725279,-80329,281197612767569,217097663314025
15349931801975,8969016969764,-8972805300398,-2868772,11475088,172291400,4580060,-18320240,117400392,16,-3156878,5855754,4,6548305,-9304274,0,1145015,717193,281197612767569,211947306843409
-16230242093055,-54138502084609,-37138729579634,-26559484,26559484,-9226696,3259556,-3259556,-41259272,-4,-7505674,5278995,-4,2809144,2972321,0,-814889,-6639871,281197612767569,177537346762233
